#Wavenumber	Intensity
650.4205	0.153366
652.2841	0.152414
654.1478	0.152274
656.0115	0.152336
657.8751	0.151895
659.7388	0.151337
661.6025	0.150367
663.4661	0.148193
665.3298	0.144685
667.1935	0.144945
669.0571	0.151523
670.9208	0.149591
672.7845	0.145646
674.6481	0.144077
676.5118	0.143615
678.3755	0.142720
680.2392	0.141499
682.1028	0.140544
683.9665	0.140398
685.8302	0.140498
687.6938	0.139376
689.5575	0.137843
691.4212	0.137257
693.2848	0.136763
695.1485	0.135994
697.0122	0.135449
698.8758	0.134617
700.7395	0.133606
702.6032	0.132701
704.4669	0.131796
706.3305	0.130726
708.1942	0.129925
710.0579	0.128929
711.9215	0.127892
713.7852	0.127102
715.6489	0.126203
717.5125	0.125363
719.3762	0.124941
721.2399	0.124159
723.1035	0.123177
724.9672	0.122643
726.8309	0.121996
728.6945	0.121016
730.5582	0.120015
732.4219	0.118758
734.2856	0.117753
736.1492	0.117023
738.0129	0.116404
739.8766	0.115647
741.7402	0.114563
743.6039	0.113437
745.4676	0.112520
747.3312	0.111473
749.1949	0.110512
751.0586	0.109656
752.9222	0.108777
754.7859	0.107845
756.6496	0.106988
758.5132	0.106073
760.3769	0.105136
762.2406	0.104365
764.1043	0.103498
765.9679	0.102527
767.8316	0.101760
769.6953	0.100750
771.5589	0.099679
773.4226	0.098683
775.2863	0.097667
777.1499	0.096735
779.0136	0.095964
780.8773	0.095086
782.7409	0.094097
784.6046	0.093122
786.4683	0.092100
788.3320	0.091176
790.1956	0.090323
792.0593	0.089294
793.9230	0.088407
795.7866	0.087466
797.6503	0.086510
799.5140	0.085578
801.3776	0.084584
803.2413	0.083619
805.1050	0.082772
806.9686	0.081794
808.8323	0.080971
810.6960	0.080168
812.5596	0.079158
814.4233	0.078214
816.2870	0.077387
818.1507	0.076483
820.0143	0.075506
821.8780	0.074543
823.7417	0.073713
825.6053	0.072874
827.4690	0.072084
829.3327	0.071283
831.1963	0.070538
833.0600	0.069756
834.9237	0.068989
836.7873	0.068220
838.6510	0.067387
840.5147	0.066649
842.3784	0.065937
844.2420	0.065079
846.1057	0.064200
847.9694	0.063578
849.8330	0.063053
851.6967	0.062226
853.5604	0.061409
855.4240	0.060769
857.2877	0.060082
859.1514	0.059318
861.0150	0.058660
862.8787	0.058169
864.7424	0.057519
866.6060	0.056765
868.4697	0.056200
870.3334	0.055640
872.1971	0.054982
874.0607	0.054285
875.9244	0.053615
877.7881	0.053094
879.6517	0.052605
881.5154	0.051993
883.3791	0.051454
885.2427	0.050860
887.1064	0.050176
888.9701	0.049569
890.8337	0.048997
892.6974	0.048387
894.5611	0.047752
896.4247	0.047220
898.2884	0.046728
900.1521	0.046162
902.0158	0.045693
903.8794	0.045252
905.7431	0.044838
907.6068	0.044467
909.4704	0.044037
911.3341	0.043561
913.1978	0.043232
915.0614	0.042912
916.9251	0.042524
918.7888	0.042154
920.6524	0.041836
922.5161	0.041484
924.3798	0.041112
926.2435	0.040838
928.1071	0.040602
929.9708	0.040267
931.8345	0.039990
933.6981	0.039722
935.5618	0.039352
937.4255	0.039070
939.2891	0.038898
941.1528	0.038682
943.0165	0.038481
944.8801	0.038296
946.7438	0.038044
948.6075	0.037786
950.4711	0.037600
952.3348	0.037425
954.1985	0.037247
956.0622	0.037105
957.9258	0.037029
959.7895	0.036960
961.6532	0.036845
963.5168	0.036728
965.3805	0.036669
967.2442	0.036687
969.1078	0.036738
970.9715	0.036703
972.8352	0.036748
974.6988	0.036879
976.5625	0.036993
978.4262	0.037084
980.2899	0.037196
982.1535	0.037320
984.0172	0.037408
985.8809	0.037453
987.7445	0.037481
989.6082	0.037485
991.4719	0.037457
993.3355	0.037369
995.1992	0.037294
997.0629	0.037198
998.9265	0.037054
1000.7902	0.036997
1002.6539	0.037045
1004.5175	0.037092
1006.3812	0.037114
1008.2449	0.037187
1010.1086	0.037297
1011.9722	0.037386
1013.8359	0.037515
1015.6996	0.037669
1017.5632	0.037878
1019.4269	0.038101
1021.2906	0.038327
1023.1542	0.038562
1025.0179	0.038830
1026.8816	0.039099
1028.7452	0.039289
1030.6089	0.039489
1032.4726	0.039823
1034.3362	0.040162
1036.1999	0.040459
1038.0636	0.040763
1039.9273	0.041089
1041.7909	0.041411
1043.6546	0.041694
1045.5183	0.041827
1047.3819	0.041814
1049.2456	0.041710
1051.1093	0.041476
1052.9729	0.041207
1054.8366	0.040995
1056.7003	0.040878
1058.5639	0.040908
1060.4276	0.041007
1062.2913	0.041111
1064.1550	0.041296
1066.0186	0.041574
1067.8823	0.041866
1069.7460	0.042217
1071.6096	0.042589
1073.4733	0.042919
1075.3370	0.043265
1077.2006	0.043630
1079.0643	0.043921
1080.9280	0.044129
1082.7916	0.044196
1084.6553	0.044157
1086.5190	0.043974
1088.3826	0.043688
1090.2463	0.043336
1092.1100	0.042982
1093.9737	0.042601
1095.8373	0.042232
1097.7010	0.041931
1099.5647	0.041644
1101.4283	0.041382
1103.2920	0.041105
1105.1557	0.040800
1107.0193	0.040545
1108.8830	0.040311
1110.7467	0.040072
1112.6103	0.039793
1114.4740	0.039571
1116.3377	0.039364
1118.2014	0.039116
1120.0650	0.038822
1121.9287	0.038528
1123.7924	0.038195
1125.6560	0.037848
1127.5197	0.037591
1129.3834	0.037317
1131.2470	0.036998
1133.1107	0.036723
1134.9744	0.036466
1136.8380	0.036197
1138.7017	0.035954
1140.5654	0.035775
1142.4290	0.035612
1144.2927	0.035437
1146.1564	0.035237
1148.0201	0.035062
1149.8837	0.034876
1151.7474	0.034699
1153.6111	0.034500
1155.4747	0.034345
1157.3384	0.034223
1159.2021	0.034106
1161.0657	0.034024
1162.9294	0.033963
1164.7931	0.033821
1166.6567	0.033710
1168.5204	0.033665
1170.3841	0.033610
1172.2477	0.033547
1174.1114	0.033518
1175.9751	0.033508
1177.8388	0.033510
1179.7024	0.033485
1181.5661	0.033529
1183.4298	0.033638
1185.2934	0.033693
1187.1571	0.033719
1189.0208	0.033775
1190.8844	0.033826
1192.7481	0.033904
1194.6118	0.034007
1196.4754	0.034062
1198.3391	0.034057
1200.2028	0.034070
1202.0665	0.034097
1203.9301	0.034135
1205.7938	0.034141
1207.6575	0.034139
1209.5211	0.034143
1211.3848	0.034162
1213.2485	0.034193
1215.1121	0.034214
1216.9758	0.034212
1218.8395	0.034194
1220.7031	0.034135
1222.5668	0.034094
1224.4305	0.034051
1226.2941	0.033963
1228.1578	0.033885
1230.0215	0.033872
1231.8852	0.033874
1233.7488	0.033863
1235.6125	0.033824
1237.4762	0.033798
1239.3398	0.033763
1241.2035	0.033724
1243.0672	0.033720
1244.9308	0.033734
1246.7945	0.033661
1248.6582	0.033585
1250.5218	0.033534
1252.3855	0.033532
1254.2492	0.033471
1256.1129	0.033363
1257.9765	0.033330
1259.8402	0.033372
1261.7039	0.033280
1263.5675	0.033145
1265.4312	0.033055
1267.2949	0.032966
1269.1585	0.032918
1271.0222	0.032917
1272.8859	0.032834
1274.7495	0.032744
1276.6132	0.032699
1278.4769	0.032678
1280.3405	0.032712
1282.2042	0.032689
1284.0679	0.032588
1285.9316	0.032607
1287.7952	0.032663
1289.6589	0.032671
1291.5226	0.032678
1293.3862	0.032674
1295.2499	0.032639
1297.1136	0.032704
1298.9772	0.032705
1300.8409	0.032672
1302.7046	0.032663
1304.5682	0.032690
1306.4319	0.032729
1308.2956	0.032776
1310.1592	0.032760
1312.0229	0.032874
1313.8866	0.032973
1315.7503	0.032893
1317.6139	0.032946
1319.4776	0.032995
1321.3413	0.032896
1323.2049	0.032791
1325.0686	0.032761
1326.9323	0.032810
1328.7959	0.032821
1330.6596	0.032817
1332.5233	0.032798
1334.3869	0.032717
1336.2506	0.032872
1338.1143	0.033403
1339.9780	0.033680
1341.8416	0.033317
1343.7053	0.033127
1345.5690	0.033246
1347.4326	0.033343
1349.2963	0.033417
1351.1600	0.033361
1353.0236	0.033336
1354.8873	0.033313
1356.7510	0.033082
1358.6146	0.032821
1360.4783	0.033018
1362.3420	0.033538
1364.2056	0.033418
1366.0693	0.032960
1367.9330	0.033002
1369.7967	0.032956
1371.6603	0.032973
1373.5240	0.033624
1375.3877	0.033873
1377.2513	0.033497
1379.1150	0.033564
1380.9787	0.033528
1382.8423	0.033470
1384.7060	0.033597
1386.5697	0.034356
1388.4333	0.034519
1390.2970	0.033827
1392.1607	0.033846
1394.0244	0.034735
1395.8880	0.035177
1397.7517	0.035096
1399.6154	0.035235
1401.4790	0.034649
1403.3427	0.034829
1405.2064	0.035335
1407.0700	0.035035
1408.9337	0.034802
1410.7974	0.034887
1412.6610	0.034651
1414.5247	0.034315
1416.3884	0.034542
1418.2520	0.035696
1420.1157	0.035716
1421.9794	0.034436
1423.8431	0.034357
1425.7067	0.033952
1427.5704	0.033596
1429.4341	0.033938
1431.2977	0.033537
1433.1614	0.032880
1435.0251	0.033485
1436.8887	0.034940
1438.7524	0.033980
1440.6161	0.033187
1442.4797	0.033203
1444.3434	0.033134
1446.2071	0.033524
1448.0707	0.034101
1449.9344	0.033645
1451.7981	0.033080
1453.6618	0.033045
1455.5254	0.034580
1457.3891	0.037181
1459.2528	0.035390
1461.1164	0.033726
1462.9801	0.033665
1464.8438	0.034490
1466.7074	0.033608
1468.5711	0.032682
1470.4348	0.032999
1472.2984	0.034664
1474.1621	0.034529
1476.0258	0.033779
1477.8895	0.033064
1479.7531	0.032583
1481.6168	0.032545
1483.4805	0.032023
1485.3441	0.031985
1487.2078	0.032912
1489.0715	0.033991
1490.9351	0.033767
1492.7988	0.032263
1494.6625	0.032403
1496.5261	0.033866
1498.3898	0.034058
1500.2535	0.033147
1502.1171	0.032212
1503.9808	0.032457
1505.8445	0.035992
1507.7082	0.037865
1509.5718	0.035742
1511.4355	0.034971
1513.2992	0.034813
1515.1628	0.035172
1517.0265	0.036022
1518.8902	0.035934
1520.7538	0.037657
1522.6175	0.038295
1524.4812	0.037597
1526.3448	0.038019
1528.2085	0.037751
1530.0722	0.037448
1531.9359	0.038328
1533.7995	0.039471
1535.6632	0.038121
1537.5269	0.038437
1539.3905	0.042129
1541.2542	0.043840
1543.1179	0.043247
1544.9815	0.042942
1546.8452	0.042201
1548.7089	0.042429
1550.5725	0.042959
1552.4362	0.042444
1554.2999	0.042796
1556.1635	0.043576
1558.0272	0.048580
1559.8909	0.051002
1561.7546	0.047243
1563.6182	0.046427
1565.4819	0.046967
1567.3456	0.047660
1569.2092	0.049780
1571.0729	0.049850
1572.9366	0.049441
1574.8002	0.051944
1576.6639	0.055131
1578.5276	0.054827
1580.3912	0.055169
1582.2549	0.056437
1584.1186	0.057898
1585.9822	0.059449
1587.8459	0.061075
1589.7096	0.062866
1591.5733	0.064820
1593.4369	0.067067
1595.3006	0.069432
1597.1643	0.071532
1599.0279	0.073778
1600.8916	0.076604
1602.7553	0.079536
1604.6189	0.082256
1606.4826	0.085363
1608.3463	0.088966
1610.2099	0.091806
1612.0736	0.093930
1613.9373	0.097046
1615.8010	0.103540
1617.6646	0.107537
1619.5283	0.107404
1621.3920	0.110066
1623.2556	0.114579
1625.1193	0.116099
1626.9830	0.117626
1628.8466	0.118420
1630.7103	0.117226
1632.5740	0.117104
1634.4376	0.121218
1636.3013	0.123799
1638.1650	0.119985
1640.0286	0.116989
1641.8923	0.114672
1643.7560	0.113554
1645.6197	0.114937
1647.4833	0.113034
1649.3470	0.107571
1651.2107	0.107760
1653.0743	0.112298
1654.9380	0.105387
1656.8017	0.099476
1658.6653	0.096116
1660.5290	0.093931
1662.3927	0.091985
1664.2563	0.087810
1666.1200	0.084185
1667.9837	0.082844
1669.8474	0.080659
1671.7110	0.076412
1673.5747	0.073774
1675.4384	0.071621
1677.3020	0.067092
1679.1657	0.063836
1681.0294	0.061296
1682.8930	0.061036
1684.7567	0.059484
1686.6204	0.054471
1688.4840	0.051604
1690.3477	0.048693
1692.2114	0.045767
1694.0750	0.044286
1695.9387	0.043364
1697.8024	0.041132
1699.6661	0.041207
1701.5297	0.038485
1703.3934	0.035833
1705.2571	0.034810
1707.1207	0.032936
1708.9844	0.031162
1710.8481	0.029517
1712.7117	0.028356
1714.5754	0.028159
1716.4391	0.028461
1718.3027	0.027893
1720.1664	0.025583
1722.0301	0.024300
1723.8937	0.023473
1725.7574	0.022470
1727.6211	0.021684
1729.4848	0.021335
1731.3484	0.021088
1733.2121	0.021799
1735.0758	0.021216
1736.9394	0.019598
1738.8031	0.019511
1740.6668	0.019079
1742.5304	0.018530
1744.3941	0.017986
1746.2578	0.017618
1748.1214	0.017726
1749.9851	0.017862
1751.8488	0.017216
1753.7125	0.016112
1755.5761	0.015977
1757.4398	0.015955
1759.3035	0.015543
1761.1671	0.015590
1763.0308	0.015048
1764.8945	0.014294
1766.7581	0.014249
1768.6218	0.014385
1770.4855	0.014542
1772.3491	0.014966
1774.2128	0.014218
1776.0765	0.013593
1777.9401	0.013191
1779.8038	0.013379
1781.6675	0.013197
1783.5312	0.012912
1785.3948	0.012584
1787.2585	0.012318
1789.1222	0.012375
1790.9858	0.012887
1792.8495	0.012916
1794.7132	0.012408
1796.5768	0.012075
1798.4405	0.012017
1800.3042	0.012147
1802.1678	0.011945
1804.0315	0.011596
1805.8952	0.011408
1807.7589	0.011303
1809.6225	0.011256
1811.4862	0.011106
1813.3499	0.010769
1815.2135	0.010434
1817.0772	0.010436
1818.9409	0.010625
1820.8045	0.010690
1822.6682	0.010709
1824.5319	0.010902
1826.3955	0.010698
1828.2592	0.010891
1830.1229	0.011062
1831.9865	0.010540
1833.8502	0.010299
1835.7139	0.010281
1837.5776	0.010229
1839.4412	0.009974
1841.3049	0.009931
1843.1686	0.010449
1845.0322	0.010634
1846.8959	0.010343
1848.7596	0.010266
1850.6232	0.010079
1852.4869	0.009921
1854.3506	0.009831
1856.2142	0.009913
1858.0779	0.009833
1859.9416	0.009783
1861.8052	0.009832
1863.6689	0.009870
1865.5326	0.009909
1867.3963	0.010369
1869.2599	0.010550
1871.1236	0.010120
1872.9873	0.009719
1874.8509	0.009605
1876.7146	0.009658
1878.5783	0.009807
1880.4419	0.009857
1882.3056	0.009819
1884.1693	0.009860
1886.0329	0.010008
1887.8966	0.010052
1889.7603	0.009965
1891.6240	0.009880
1893.4876	0.009955
1895.3513	0.009970
1897.2150	0.009983
1899.0786	0.009881
1900.9423	0.009864
1902.8060	0.009871
1904.6696	0.009814
1906.5333	0.009881
1908.3970	0.010125
1910.2606	0.010036
1912.1243	0.009994
1913.9880	0.009908
1915.8516	0.009757
1917.7153	0.010086
1919.5790	0.010297
1921.4427	0.010273
1923.3063	0.010275
1925.1700	0.010079
1927.0337	0.009888
1928.8973	0.009947
1930.7610	0.010206
1932.6247	0.010235
1934.4883	0.010078
1936.3520	0.010092
1938.2157	0.010317
1940.0793	0.010387
1941.9430	0.010387
1943.8067	0.010091
1945.6704	0.009896
1947.5340	0.010005
1949.3977	0.010584
1951.2614	0.010601
1953.1250	0.009999
1954.9887	0.009831
1956.8524	0.010094
1958.7160	0.009964
1960.5797	0.009916
1962.4434	0.010205
1964.3070	0.010716
1966.1707	0.010703
1968.0344	0.010546
1969.8980	0.010646
1971.7617	0.010932
1973.6254	0.011084
1975.4891	0.011360
1977.3527	0.011793
1979.2164	0.012497
1981.0801	0.012789
1982.9437	0.012373
1984.8074	0.012185
1986.6711	0.012534
1988.5347	0.012750
1990.3984	0.012949
1992.2621	0.012660
1994.1257	0.012375
1995.9894	0.012419
1997.8531	0.012323
1999.7167	0.012164
2001.5804	0.012424
2003.4441	0.011962
2005.3078	0.011343
2007.1714	0.012108
2009.0351	0.013080
2010.8988	0.012727
2012.7624	0.012333
2014.6261	0.012726
2016.4898	0.012979
2018.3534	0.012641
2020.2171	0.012768
2022.0808	0.012866
2023.9444	0.012801
2025.8081	0.012995
2027.6718	0.013151
2029.5355	0.013133
2031.3991	0.013460
2033.2628	0.013541
2035.1265	0.013707
2036.9901	0.014112
2038.8538	0.014402
2040.7175	0.014785
2042.5811	0.015094
2044.4448	0.015102
2046.3085	0.015670
2048.1721	0.016230
2050.0358	0.016256
2051.8995	0.015843
2053.7631	0.015520
2055.6268	0.015509
2057.4905	0.015513
2059.3542	0.015609
2061.2178	0.015745
2063.0815	0.015958
2064.9452	0.016293
2066.8088	0.016019
2068.6725	0.016032
2070.5362	0.016294
2072.3998	0.016439
2074.2635	0.016592
2076.1272	0.016487
2077.9908	0.016321
2079.8545	0.016699
2081.7182	0.016693
2083.5819	0.016434
2085.4455	0.016418
2087.3092	0.016324
2089.1729	0.015957
2091.0365	0.015683
2092.9002	0.015653
2094.7639	0.015882
2096.6275	0.016272
2098.4912	0.016457
2100.3549	0.016292
2102.2185	0.016138
2104.0822	0.015985
2105.9459	0.016045
2107.8095	0.016200
2109.6732	0.016357
2111.5369	0.016176
2113.4006	0.016033
2115.2642	0.016022
2117.1279	0.015744
2118.9916	0.015222
2120.8552	0.014948
2122.7189	0.014737
2124.5826	0.014654
2126.4462	0.014530
2128.3099	0.014032
2130.1736	0.013367
2132.0372	0.013201
2133.9009	0.013398
2135.7646	0.013615
2137.6282	0.013721
2139.4919	0.013780
2141.3556	0.013721
2143.2193	0.013255
2145.0829	0.012788
2146.9466	0.012736
2148.8103	0.012586
2150.6739	0.012537
2152.5376	0.012028
2154.4013	0.011406
2156.2649	0.011679
2158.1286	0.013376
2159.9923	0.014884
2161.8559	0.015305
2163.7196	0.015156
2165.5833	0.015062
2167.4470	0.014661
2169.3106	0.014414
2171.1743	0.013861
2173.0380	0.013330
2174.9016	0.013600
2176.7653	0.013824
2178.6290	0.013230
2180.4926	0.013030
2182.3563	0.013498
2184.2200	0.014020
2186.0836	0.014024
2187.9473	0.014154
2189.8110	0.014073
2191.6746	0.013697
2193.5383	0.013209
2195.4020	0.012821
2197.2657	0.012603
2199.1293	0.012628
2200.9930	0.012682
2202.8567	0.012662
2204.7203	0.012480
2206.5840	0.012775
2208.4477	0.012613
2210.3113	0.012666
2212.1750	0.013054
2214.0387	0.012658
2215.9023	0.012259
2217.7660	0.012150
2219.6297	0.011780
2221.4934	0.011929
2223.3570	0.012027
2225.2207	0.011994
2227.0844	0.011945
2228.9480	0.012015
2230.8117	0.012106
2232.6754	0.012418
2234.5390	0.012306
2236.4027	0.011827
2238.2664	0.011602
2240.1300	0.011515
2241.9937	0.011405
2243.8574	0.011467
2245.7210	0.011529
2247.5847	0.011533
2249.4484	0.011196
2251.3121	0.010776
2253.1757	0.010683
2255.0394	0.011172
2256.9031	0.011308
2258.7667	0.011152
2260.6304	0.010986
2262.4941	0.010859
2264.3577	0.010936
2266.2214	0.011043
2268.0851	0.011039
2269.9487	0.010956
2271.8124	0.010777
2273.6761	0.010848
2275.5397	0.010837
2277.4034	0.010744
2279.2671	0.010719
2281.1308	0.010806
2282.9944	0.011028
2284.8581	0.011154
2286.7218	0.010947
2288.5854	0.010656
2290.4491	0.010517
2292.3128	0.010509
2294.1764	0.010407
2296.0401	0.010346
2297.9038	0.010356
2299.7674	0.010372
2301.6311	0.010257
2303.4948	0.010224
2305.3585	0.010288
2307.2221	0.010320
2309.0858	0.010366
2310.9495	0.010410
2312.8131	0.010437
2314.6768	0.010630
2316.5405	0.010806
2318.4041	0.011093
2320.2678	0.011295
2322.1315	0.011578
2323.9951	0.011604
2325.8588	0.011198
2327.7225	0.010469
2329.5861	0.010392
2331.4498	0.010386
